dataHora,ordem,linha,latitude,longitude,velocidade
05-17-2022 00:28:42,C13083,731,"-22.87969","-43.35781",2
05-17-2022 04:52:29,D13009,746,"-22.87644","-43.41994",0
05-17-2022 05:58:19,D17105,849,"-22.91805","-43.60811",0
05-17-2022 06:06:40,D13060,777,"-22.87667","-43.41946",0
05-17-2022 06:10:40,B32664,399,"-22.81791","-43.39309",0
05-17-2022 06:36:01,D13346,745,"-22.88012","-43.35832",0
05-17-2022 06:48:27,C47620,600,"-22.95224","-43.35001",0
05-17-2022 07:33:04,C13029,338,"-22.88001","-43.35806",0
05-17-2022 07:36:18,C30321,550,"-22.95122","-43.3484",0
05-17-2022 08:08:18,C50126,302,"-22.91067","-43.20807",37
05-17-2022 08:21:56,B10116,328,"-22.81588","-43.22246",27
05-17-2022 08:53:22,B10006,323,"-22.90936","-43.20572",10
05-17-2022 08:54:30,D53545,846,"-22.88378","-43.49496",0
05-17-2022 09:10:36,C30265,550,"-22.99475","-43.31112",10
05-17-2022 09:16:49,B31164,483,"-22.83382","-43.28097",0
05-17-2022 09:17:15,B32735,342,"-22.90913","-43.17172",0
05-17-2022 09:17:49,C47996,2114,"-22.9171","-43.27829",57
05-17-2022 09:19:29,C50069,608,"-22.92301","-43.26448",0
05-17-2022 09:30:07,A29115,583,"-23.00203","-43.36683",0
05-17-2022 09:30:33,D13028,803,"-22.88547","-43.40016",0
05-17-2022 09:40:02,A29135,472,"-23.00213","-43.36669",0
05-17-2022 09:42:26,B28573,321,"-22.90743","-43.1992",50
05-17-2022 09:44:01,D13305,794,"-22.89207","-43.43148",0
05-17-2022 09:47:04,A48028,202,"-22.90787","-43.19554",15
05-17-2022 09:49:22,B32523,793,"-22.81751","-43.39372",3
05-17-2022 09:50:11,D13191,394,"-22.83808","-43.36578",19
05-17-2022 09:53:15,A48086,202,"-22.91059","-43.27033",0
05-17-2022 10:06:34,C51579,371,"-22.89694","-43.34837",0
05-17-2022 10:08:01,A48182,202,"-22.92627","-43.34376",32
05-17-2022 10:08:41,C30077,954,"-22.9486","-43.37269",0
05-17-2022 10:10:01,D13332,926,"-22.84008","-43.3685",21
05-17-2022 10:11:56,D87760,2336,"-22.90095","-43.55392",0
05-17-2022 10:12:29,D13229,803,"-22.88284","-43.49052",15
05-17-2022 10:17:47,B32829,399,"-22.81755","-43.39353",0
05-17-2022 10:17:47,C30039,550,"-22.9516","-43.34789",0
05-17-2022 10:18:54,D13197,777,"-22.89183","-43.44948",26
05-17-2022 10:22:32,B11580,378,"-22.85855","-43.37143",0
05-17-2022 10:23:19,B63094,919,"-22.84634","-43.32536",2
05-17-2022 10:25:23,C47957,2114,"-22.91035","-43.22047",0
05-17-2022 10:25:41,B27080,629,"-22.81712","-43.30193",0
05-17-2022 10:25:41,B32752,385,"-22.81648","-43.39437",0
05-17-2022 10:26:36,B27180,639,"-22.88138","-43.32417",32
05-17-2022 10:28:13,B32750,2305,"-22.81746","-43.393",0
05-17-2022 10:29:19,D13195,801,"-22.88036","-43.35741",0
05-17-2022 10:29:41,D13110,926,"-22.83858","-43.30236",29
05-17-2022 10:30:05,B28585,321,"-22.86354","-43.23477",59
05-17-2022 10:30:59,D17191,770,"-23.00159","-43.36684",0
05-17-2022 10:35:17,C47828,692,"-23.00255","-43.36675",43
05-17-2022 10:36:52,B58105,313,"-22.83655","-43.28589",15
05-17-2022 10:37:13,D13062,731,"-22.86113","-43.39277",0
05-17-2022 10:38:05,D13503,731,"-22.88051","-43.35805",0
05-17-2022 10:46:30,A50049,220,"-22.93556","-43.22601",93
05-17-2022 10:46:54,D87835,2336,"-22.91689","-43.60813",0
05-17-2022 10:47:39,C47523,315,"-23.02233","-43.49087",16
05-17-2022 10:49:10,B58060,628,"-22.83733","-43.28638",0
05-17-2022 10:49:48,B32821,793,"-22.8547","-43.39001",0
05-17-2022 10:50:05,A41090,309,"-22.87495","-43.24102",0
05-17-2022 10:50:31,B11624,362,"-22.84637","-43.37978",23
05-17-2022 10:52:13,A29084,472,"-23.00215","-43.366",0
05-17-2022 10:52:38,C50171,302,"-22.92063","-43.2224",38
05-17-2022 10:54:59,B32668,615,"-23.00235","-43.36602",0
05-17-2022 10:57:03,D17180,804,"-23.00252","-43.36586",0
05-17-2022 10:58:40,B27025,355,"-23.0005","-43.38243",52
05-17-2022 11:00:15,B71004,457,"-22.90065","-43.17685",1
05-17-2022 11:01:54,B31001,485,"-22.80447","-43.30997",0
05-17-2022 11:04:18,A29067,461,"-23.00215","-43.36581",0
05-17-2022 11:06:29,B63077,920,"-22.79238","-43.29489",0
05-17-2022 11:10:15,C12511,2345,"-22.89493","-43.21357",66
05-17-2022 11:10:36,B25568,249,"-22.90381","-43.30106",91
05-17-2022 11:13:22,C12527,2345,"-22.90952","-43.21805",0
05-17-2022 11:16:39,C47706,861,"-22.95624","-43.39264",0
05-17-2022 11:17:36,A29019,210,"-23.00196","-43.36527",0
05-17-2022 11:18:11,C50102,805,"-23.02634","-43.44048",48
05-17-2022 11:21:44,B28626,321,"-22.79651","-43.20452",17
05-17-2022 11:22:30,A72015,422,"-22.93087","-43.17771",0
05-17-2022 11:22:50,B10048,328,"-22.8979","-43.18053",1
05-17-2022 11:23:27,A29089,292,"-23.00233","-43.36568",0
05-17-2022 11:23:59,C51525,371,"-22.90171","-43.34835",4
05-17-2022 11:25:10,B32800,386,"-22.80408","-43.30633",1
05-17-2022 11:29:36,B11582,362,"-22.86528","-43.35649",25
05-17-2022 11:29:39,D12113,2335,"-22.99099","-43.65133",55
05-17-2022 11:32:38,B10026,328,"-22.89785","-43.18096",3
05-17-2022 11:35:50,B11552,362,"-22.84861","-43.38249",46
05-17-2022 11:36:09,C30042,565,"-22.89981","-43.35389",0
05-17-2022 11:38:40,A72128,422,"-22.91923","-43.26684",5
05-17-2022 11:39:01,C47775,550,"-22.95035","-43.3487",26
05-17-2022 11:39:24,D13293,936,"-22.87608","-43.41984",0
05-17-2022 11:39:29,C12503,2345,"-22.8645","-43.36203",19
05-17-2022 11:40:15,C47847,880,"-22.95283","-43.35023",0
05-17-2022 11:40:19,D86758,2803,"-22.85708","-43.49596",18
05-17-2022 11:41:11,C72131,422,"-22.92554","-43.25273",0
05-17-2022 11:41:23,D13095,394,"-22.82366","-43.33096",43
05-17-2022 11:43:16,B32524,615,"-22.81584","-43.39426",3
05-17-2022 11:45:10,A41459,462,"-22.9076","-43.1979",24
05-17-2022 11:45:16,B10073,328,"-22.89811","-43.18085",14
05-17-2022 11:47:00,C47939,2110,"-22.95257","-43.34942",0
05-17-2022 11:47:46,C50193,608,"-22.92931","-43.25388",10
05-17-2022 11:47:56,C47942,2110,"-22.9994","-43.35478",12
05-17-2022 11:50:48,D86727,2803,"-22.85738","-43.49688",19
05-17-2022 11:52:21,B71131,239,"-22.89655","-43.30827",0
05-17-2022 11:54:00,D86157,884,"-22.89427","-43.53197",0
05-17-2022 11:54:08,D13326,394,"-22.85606","-43.47809",47
05-17-2022 11:55:07,B11590,362,"-22.86631","-43.35464",32
05-17-2022 11:55:10,B32633,795,"-23.00156","-43.36667",0
05-17-2022 11:55:23,A50181,805,"-23.00201","-43.36539",0
05-17-2022 11:57:00,C30211,557,"-22.97963","-43.3333",0
05-17-2022 11:57:22,C50175,608,"-22.92931","-43.25396",0
05-17-2022 12:00:33,A50016,302,"-23.00166","-43.36553",0
05-17-2022 12:00:33,C50209,805,"-23.00156","-43.36587",25
